Brands,Title,Rating(out of 5),Price,Category,Segment
Reebok,Mens Baseliner Sneaker,3.9,1399,Sneakers,Low_segment
Reebok,Mens Evander Running Shoe,3.9,1884,Running Shoes,Low_segment
Reebok,Mens Emergo Runner LpRunning Shoes,4,3299,Running Shoes,Medium_segment
BRUTON,EVA Lite Sneakers,3.4,498,Sneakers,Low_segment
ASIAN,Men's MEXICO-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,3.5,799,Sneakers,Low_segment
ASIAN,Men's Wonder-13 Sports Running Shoes…,3.9,599,Running Shoes,Low_segment
Skechers,Womens Uno - Stand on Air Sneaker,4.6,3360,Sneakers,Medium_segment
JQR,"Global Plus Men's Sports Running Shoes Mesh Upper Lace up Design Soft Cushioned Memory Foam Insole Extra Grip Anti Skid Comfortable Lightweight Durable for Gym, Jogging, Walking & Everyday",4.2,937,Running Shoes,Low_segment
Skechers,Men Running Shoes,4.2,4499,Running Shoes,Medium_segment
JQR,"MOJ 403 Sports, Running,Walking, Gym, Training Shoes for Men|Stylish, Breathable,Lightweight,Comfortable",4,439,Running Shoes,Low_segment
Skechers,Men D'Lux Walker Meerno Walking Shoes,4.2,4199,Walking Shoes,Medium_segment
Puma,Men Dazzler Sneaker,3.9,1599,Sneakers,Low_segment
Bata,Men's BOSS-Grip Formal Shoes,3.6,670,Other,Low_segment
Boldfit,"Boldfit Shoe Bag for Travel Bag for Man & Women Shoe Cover for Storage at Home Gym Reusable Travelling Accessories Organizer Pouch Travel Essentials Footwear Bags for Travelling Men -Pack of 6, Black",4.4,199,Other,Low_segment
Bata,Mens I-and Laceup Sneaker,3.9,1390,Sneakers,Low_segment
LANCER,Mens Indus-251 Running Shoe,3.6,607,Running Shoes,Low_segment
Campus,Men Oxyfit (N) Walking Shoes,4.1,649,Walking Shoes,Low_segment
Fitness Mantra,12 Pairs Sports Ankle Cotton Socks | Free Size| Breathable| Daily Use| Multicolor| 12 Pairs|,4,195,Other,Low_segment
Bata,Mens Slipon Walking Shoe,4,596,Walking Shoes,Low_segment
Reebok,Mens Stride Runner Running Shoe,3.8,1100,Running Shoes,Low_segment
Puma,Women Loop X Walking Shoe,4,1139,Walking Shoes,Low_segment
ASIAN,Men's TARZAN-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,3.8,769,Sneakers,Low_segment
Skechers,Men Summits Brisbane Sneakers,4.1,2740,Sneakers,Medium_segment
ATHCO,Mens Ontario Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,4.9,829,Running Shoes,Low_segment
BRUTON,Trendy EVA Lite Sneakers Casual Shoes for Men's & Boy's,3.7,492,Sneakers,Low_segment
JQR,"Signature Men's Casual Sneaker Shoes Synthetic Upper Lace up Design Soft Cushioned Memory Foam Insole Extra Grip Anti Skid Comfortable Lightweight Durable for Gym, Workout, Walking & Everyday",4.2,949,Sneakers,Low_segment
Boldfit,"BoldFit Running Shoes for Men Sports Shoes for Man Anti Slip Sports Shoes for Men with Soft Sole Extra Grip Men Shoes for Running, Jogging Regular Gym Shoes for Men, Boys Mens Shoes Black-Grey UK 7",3.8,1499,Running Shoes,Low_segment
Woodland,Men's Leather Sneaker,3.9,2260,Sneakers,Medium_segment
SPARX,Men's Mesh Running Shoe,3.9,849,Running Shoes,Low_segment
HEALTH SAFE,HEALTH SAFE Safety Shoes - 8 UK | Puncture-Resistant | Steel Toe Cap | Industrial Shoes | Non-Slip Shoes | Comfortable Fit | Multi-Terrain Protection | Crush Protection | Anti-Nail Penetration,2.7,699,Other,Low_segment
SPARX,Men Lace Up Running Shoes,4,877,Running Shoes,Low_segment
Bata,Men Mesh Shoes,3.7,445,Other,Low_segment
Bata,Mens Jazz Casual Shoe,3.7,499,Casual Shoes,Low_segment
SPARX,Mens SM 675 | Enhanced Durability & Soft Cushion,4.1,799,Other,Low_segment
Campus,Men North Plus Running Shoes,4,1105,Running Shoes,Low_segment
Liberty,"Force10 ROKKY-4 Non-Lacing Walking Shoes for Men with PVC Sole| Suitable for Jogging, Workout, Gym & Outdoor Activity | Stylish, Lightweight & Comfortable Footbed | Sports Footwear",3.8,619,Walking Shoes,Low_segment
Nivia,"Flash 2.0 Badminton Shoes for Men | Your Go-to Shoe for Pickleball, Padel, and All Court Sports | Badminton Sports Shoes | (Blue/White/Sky Blue)",4,949,Other,Low_segment
SPARX,Men Lace Up Sneaker Shoes,4.1,721,Sneakers,Low_segment
Puma,Men Ultimate Ease Walking Shoe,4,1499,Walking Shoes,Low_segment
Campus,Men Brisk Sneakers,4.4,1391,Sneakers,Low_segment
Bata,Men Pull On Loafers,3.8,704,Other,Low_segment
ASIAN,"Men DOMINATOR-03 Running and Casual wear Running Shoes with Laces, Lightweight and Comfortable Shoes with Upper Fabric and Phylon Sole for Men & Boys for Sports and Gym",3.7,1199,Running Shoes,Low_segment
Centrino,Loafers for Men Causal | Casual Shoes for Men | Soft Cushioned Insole| Moccasins | Lighweight Shoes (3392),3.8,799,Casual Shoes,Low_segment
new balance,Men's Evoi Sneaker,1,4481,Sneakers,Medium_segment
